	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	price	minimum_nights	number_of_reviews	calculated_host_listings_count	availability_365	cancellation_policy	guests_included	bedrooms	risk_rating
7112	43337437	324798616	0	38	1.3305799999999999	103.86806999999999	140	28	0	36	365	2	2	1	0
7113	43337509	324798616	0	21	1.32352	103.85146999999999	151	3	4	36	1	2	3	2	0
7114	43337557	324798616	0	21	1.32332	103.85051	146	7	0	36	1	2	3	2	0
7115	43337626	324798616	0	21	1.3227799999999998	103.85186	140	28	0	36	365	2	3	2	0
7116	43343196	1983426	0	15	1.30959	103.85775	300	1	0	17	364	1	1	0	0
7117	43343253	1983426	0	29	1.30378	103.85501	300	1	0	17	325	1	1	0	0
7118	43343936	21705153	0	27	1.3068	103.78529	130	7	0	3	365	0	1	1	0
7119	43344101	69886637	1	1	1.32847	103.90674	39	90	0	1	363	0	1	1	1
7120	43344197	66406177	0	10	1.27916	103.84649	161	30	0	335	365	2	1	1	1
7121	43352390	14818409	0	27	1.29062	103.80646	189	7	0	17	365	1	3	1	0
7122	43352611	1983426	0	11	1.31356	103.87895	300	1	0	17	358	1	1	0	0
7123	43352635	261751524	0	27	1.29098	103.80705	218	3	0	15	363	1	3	1	0
7124	43352653	141641777	0	27	1.2917399999999999	103.80684000000001	218	7	0	16	363	1	5	2	0
7125	43352675	1983426	0	11	1.31322	103.87754	300	1	0	17	363	1	1	0	0
7126	43352763	1983426	0	11	1.31369	103.87758000000001	300	1	0	17	357	1	1	0	0
7127	43352806	1983426	0	11	1.31376	103.87926999999999	300	1	0	17	357	1	1	0	0
7128	43352895	1983426	0	11	1.31261	103.87708	300	1	0	17	1	1	1	0	0
7129	43352947	1983426	0	11	1.3140399999999999	103.87522	300	1	0	17	324	1	1	0	0
7130	43352967	1983426	0	11	1.31256	103.87683	300	1	0	17	358	1	1	0	0
7131	43352981	1983426	0	11	1.3124799999999999	103.87545	300	1	0	17	351	1	1	0	0
7132	43353006	1983426	0	11	1.31377	103.87677	300	1	0	17	353	1	1	0	0
7133	43353029	1983426	0	11	1.31418	103.87535	300	1	0	17	357	1	1	0	0
7134	43354292	68059127	1	1	1.32397	103.91368	140	2	0	27	365	2	1	1	0
7135	43354914	68059127	1	1	1.32218	103.91331	139	3	1	27	318	2	2	1	0
7136	43355016	68059127	1	1	1.32199	103.91359	151	2	1	27	347	2	2	1	0
7137	43357993	345410324	4	3	1.35271	103.75424	20	1	1	9	365	0	1	1	0
7138	43358921	68059127	1	1	1.3223799999999999	103.91471	150	2	0	27	358	2	2	1	0
7139	43359021	24496358	1	1	1.32294	103.91497	151	2	1	30	358	0	1	1	0
7140	43359087	24496358	1	1	1.32273	103.91343	150	2	0	30	346	0	1	1	0
7141	43359359	24496358	1	1	1.3238	103.91337	140	3	0	30	318	0	1	1	0
7142	43359426	24496358	1	1	1.3226799999999999	103.91553	140	3	1	30	365	2	1	1	0
7143	43361446	105167673	0	21	1.32073	103.85332	140	3	10	40	361	2	2	1	0
7144	43376322	10723468	0	27	1.28243	103.78573	219	90	0	2	365	2	1	3	1
7145	43376474	105167673	0	21	1.3204200000000001	103.85165	138	7	1	40	365	2	2	1	0
7146	43376910	141673004	4	14	1.34618	103.72288	80	7	0	1	38	0	1	1	0
7147	43377053	105167673	0	21	1.32221	103.85296	138	7	0	40	365	2	2	1	0
7148	43377091	105167673	0	21	1.32112	103.8511	129	28	0	40	365	2	2	1	0
7149	43379651	345606220	0	29	1.30483	103.85574	80	1	15	3	10	2	1	1	0
7150	43379899	345606220	0	29	1.3044200000000001	103.85528000000001	80	1	4	3	10	2	1	1	0
7151	43393119	9417058	1	36	1.36276	103.93536999999999	42	7	0	2	173	1	1	1	0
7152	43393378	300415759	0	18	1.30795	103.90021999999999	73	2	4	6	358	1	1	1	0
7153	43393973	1983426	0	29	1.3018399999999999	103.8606	300	1	0	17	0	0	1	0	0
7154	43394803	4705949	0	20	1.30456	103.83453	105	4	0	12	179	0	1	1	0
7155	43398475	4705949	0	20	1.30456	103.83453	68	4	0	12	90	2	1	1	0
7156	43398518	4705949	0	20	1.30511	103.83553	68	4	0	12	90	2	1	1	0
7157	43400044	4705949	0	22	1.30364	103.83574	79	4	0	12	0	2	1	1	0
7158	43400211	4705949	0	20	1.30578	103.83536	68	4	0	12	90	2	1	1	0
